seed,combo,drivers,orderRate,matchR,rebalR,thresh,timeout,ss_success_pct,ss_cancel_per_min,ss_completed_per_min,ss_match_per_sec,est_wait_s,avg_queue,p95_queue,max_queue,avg_idle_frac,avg_enroute,avg_ontrip,avg_rebal,rebal_events_per_min,avg_alert_cells,p90_alert_cells,max_alert_cells,max_pending_obs,eta_mean_s,eta_p90_s,traffic_share_pct,avg_traffic_factor,avg_grid_traffic,avg_traffic_cells15,avg_traffic_cells25,generated_total,cancelled_total,completed_total
20260808,�'530_t�,100,5-10,3,30,2,10,42.601787,256.888889,190.333333,3.177778,18.550728,58.950092,76,83,0.434547,6.358595,45.007394,5.179298,149.900000,8.817006,10,16,15,3.297249,6,72.653722,2.071176,1.010735,129.271719,42.717190,4487,2556,1819
20260808,�'530_t�,100,5-10,3,30,2,20,47.886972,231.555556,212.666667,3.546296,30.967196,109.818854,144,153,0.375287,7.097967,49.767098,5.606285,161.900000,11.887246,17,18,25,3.078700,5,58.903445,1.872164,1.010735,129.271719,42.717190,4460,2250,2025
20260808,�'530_t�,100,5-10,5,10,1,10,27.892664,325.444444,124.666667,2.098148,29.600965,62.107209,72,80,0.612532,4.208872,29.859519,4.678373,138.500000,15.480591,22,28,14,3.039297,6,30.511182,1.418427,1.010735,129.271719,42.717190,4514,3203,1210
20260808,�'530_t�,100,5-10,5,10,1,20,29.186483,314.333333,129.888889,2.159259,55.841701,120.576710,134,141,0.597763,4.330869,30.826248,5.066543,150.400000,20.390018,27,34,27,3.014020,6,26.258714,1.350395,1.010735,129.271719,42.717190,4460,3039,1259
20260808,�'530_t�,100,5-10,5,10,2,10,21.251241,352.444444,94.444444,1.585185,41.614525,65.966728,77,84,0.736396,3.181146,21.992606,1.186691,35.500000,9.981516,14,17,15,4.177239,6,36.459431,1.518651,1.010735,129.271719,42.717190,4495,3471,922
20260808,�'530_t�,100,5-10,5,10,2,20,22.648424,351.777778,102.666667,1.716667,77.516645,133.070240,145,153,0.712403,3.443623,24.003697,1.312384,39.000000,13.136784,18,18,23,4.170898,6,32.910156,1.472705,1.010735,129.271719,42.717190,4553,3395,997
20260808,�'530_t�,100,5-10,5,20,1,10,40.595033,268.444444,181.555556,3.057407,19.448539,59.462107,71,77,0.345120,6.099815,43.114603,16.273567,475.800000,14.683919,20,28,17,2.778047,6,44.401544,1.642190,1.010735,129.271719,42.717190,4502,2628,1760
20260808,�'530_t�,100,5-10,5,20,1,20,48.567194,231.333333,218.000000,3.640741,29.253050,106.502773,126,139,0.251312,7.282810,51.434381,16.151571,471.000000,18.497227,24,30,26,2.906107,6,42.983683,1.613245,1.010735,129.271719,42.717190,4487,2222,2093
20260808,�'530_t�,100,5-10,5,20,2,10,35.172757,289.777778,158.333333,2.620370,23.203673,60.802218,75,81,0.537837,5.253235,37.791128,3.171904,93.700000,9.580407,12,16,15,4.120065,6,58.580645,1.844800,1.010735,129.271719,42.717190,4492,2874,1522
20260808,�'530_t�,100,5-10,5,20,2,20,42.300000,256.444444,187.000000,3.133333,35.234397,110.401109,135,141,0.456691,6.299445,44.207024,3.824399,110.800000,12.415896,17,19,27,3.916557,6,52.302632,1.760263,1.010735,129.271719,42.717190,4461,2507,1778
20260808,�'530_t�,100,5-10,5,30,1,10,56.494483,192.777778,249.888889,4.172222,13.776087,57.476895,70,78,0.110887,8.382625,58.349353,22.179298,665.800000,15.162662,21,26,15,2.942387,6,52.180809,1.761800,1.010735,129.271719,42.717190,4448,1864,2457
20260808,�'530_t�,100,5-10,5,30,1,20,59.548355,183.111111,271.777778,4.492593,23.840435,107.105360,129,138,0.091978,8.979667,63.199630,18.622921,566.300000,19.129390,25,29,24,3.018614,6,46.369333,1.679893,1.010735,129.271719,42.717190,4534,1701,2663
20260808,�'530_t�,100,5-10,5,30,2,10,45.380435,245.666667,203.888889,3.401852,16.976727,57.752311,75,82,0.401423,6.804067,48.086876,4.966728,144.600000,8.939002,11,16,18,3.812133,6,66.732969,1.976057,1.010735,129.271719,42.717190,4517,2443,1967
20260808,�'530_t�,100,5-10,5,30,2,20,50.846173,216.222222,221.888889,3.727778,28.092041,104.720887,137,150,0.349871,7.454713,52.197782,5.360444,154.900000,11.942699,17,19,22,3.663728,6,56.144358,1.817305,1.010735,129.271719,42.717190,4422,2099,2136
20260808,�'530_t�,100,5-10,6,10,1,10,25.931409,333.555556,117.444444,1.946296,32.355876,62.974122,73,76,0.651867,3.907579,27.855823,3.049908,93.600000,15.001848,21,27,15,3.678349,7,27.801179,1.364869,1.010735,129.271719,42.717190,4518,3274,1158
20260808,�'530_t�,100,5-10,6,10,1,20,29.520295,318.333333,133.333333,2.222222,54.842606,121.872458,135,143,0.602089,4.458410,31.887246,3.445471,101.500000,20.972274,27,31,26,3.738635,7,24.381095,1.308560,1.010735,129.271719,42.717190,4537,3072,1301
20260808,�'530_t�,100,5-10,6,10,2,10,20.389067,359.222222,93.222222,1.533333,42.890380,65.765250,75,81,0.736451,3.081331,22.282810,0.990758,30.000000,9.981516,14,18,19,4.743803,7,32.585470,1.440459,1.010735,129.271719,42.717190,4528,3534,918
